"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 14:00","2012","10","12","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 15:00","2012","10","12","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 16:00","2012","10","12","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 17:00","2012","10","12","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 18:00","2012","10","12","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 19:00","2012","10","12","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 20:00","2012","10","12","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 21:00","2012","10","12","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 22:00","2012","10","12","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-12 23:00","2012","10","12","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 00:00","2012","10","13","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 01:00","2012","10","13","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 02:00","2012","10","13","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 03:00","2012","10","13","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 04:00","2012","10","13","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 05:00","2012","10","13","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 06:00","2012","10","13","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 07:00","2012","10","13","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 08:00","2012","10","13","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 09:00","2012","10","13","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 10:00","2012","10","13","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 11:00","2012","10","13","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 12:00","2012","10","13","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 13:00","2012","10","13","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 14:00","2012","10","13","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 15:00","2012","10","13","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 16:00","2012","10","13","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 17:00","2012","10","13","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 18:00","2012","10","13","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 19:00","2012","10","13","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 20:00","2012","10","13","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 21:00","2012","10","13","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 22:00","2012","10","13","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-13 23:00","2012","10","13","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 00:00","2012","10","14","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 01:00","2012","10","14","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 02:00","2012","10","14","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 03:00","2012","10","14","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 04:00","2012","10","14","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 05:00","2012","10","14","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 06:00","2012","10","14","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 07:00","2012","10","14","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 08:00","2012","10","14","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 09:00","2012","10","14","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 10:00","2012","10","14","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 11:00","2012","10","14","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 12:00","2012","10","14","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 13:00","2012","10","14","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 14:00","2012","10","14","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 15:00","2012","10","14","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 16:00","2012","10","14","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 17:00","2012","10","14","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 18:00","2012","10","14","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 19:00","2012","10","14","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 20:00","2012","10","14","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 21:00","2012","10","14","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 22:00","2012","10","14","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-14 23:00","2012","10","14","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 00:00","2012","10","15","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 01:00","2012","10","15","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 02:00","2012","10","15","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 03:00","2012","10","15","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 04:00","2012","10","15","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 05:00","2012","10","15","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 06:00","2012","10","15","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 07:00","2012","10","15","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 08:00","2012","10","15","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 09:00","2012","10","15","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 10:00","2012","10","15","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 11:00","2012","10","15","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 12:00","2012","10","15","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 13:00","2012","10","15","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 14:00","2012","10","15","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 15:00","2012","10","15","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 16:00","2012","10","15","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 17:00","2012","10","15","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 18:00","2012","10","15","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 19:00","2012","10","15","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 20:00","2012","10","15","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 21:00","2012","10","15","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 22:00","2012","10","15","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-15 23:00","2012","10","15","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 00:00","2012","10","16","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 01:00","2012","10","16","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 02:00","2012","10","16","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 03:00","2012","10","16","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 04:00","2012","10","16","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 05:00","2012","10","16","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 06:00","2012","10","16","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 07:00","2012","10","16","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 08:00","2012","10","16","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 09:00","2012","10","16","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 10:00","2012","10","16","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 11:00","2012","10","16","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 12:00","2012","10","16","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 13:00","2012","10","16","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 14:00","2012","10","16","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 15:00","2012","10","16","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 16:00","2012","10","16","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 17:00","2012","10","16","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 18:00","2012","10","16","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 19:00","2012","10","16","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 20:00","2012","10","16","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 21:00","2012","10","16","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 22:00","2012","10","16","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-16 23:00","2012","10","16","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 00:00","2012","10","17","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 01:00","2012","10","17","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 02:00","2012","10","17","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 03:00","2012","10","17","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 04:00","2012","10","17","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 05:00","2012","10","17","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 06:00","2012","10","17","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 07:00","2012","10","17","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 08:00","2012","10","17","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 09:00","2012","10","17","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 10:00","2012","10","17","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 11:00","2012","10","17","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 12:00","2012","10","17","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 13:00","2012","10","17","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 14:00","2012","10","17","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 15:00","2012","10","17","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 16:00","2012","10","17","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 17:00","2012","10","17","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 18:00","2012","10","17","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 19:00","2012","10","17","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 20:00","2012","10","17","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 21:00","2012","10","17","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 22:00","2012","10","17","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-17 23:00","2012","10","17","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 00:00","2012","10","18","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 01:00","2012","10","18","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 02:00","2012","10","18","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 03:00","2012","10","18","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 04:00","2012","10","18","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 05:00","2012","10","18","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 06:00","2012","10","18","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 07:00","2012","10","18","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 08:00","2012","10","18","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 09:00","2012","10","18","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 10:00","2012","10","18","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 11:00","2012","10","18","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 12:00","2012","10","18","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 13:00","2012","10","18","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 14:00","2012","10","18","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 15:00","2012","10","18","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 16:00","2012","10","18","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 17:00","2012","10","18","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 18:00","2012","10","18","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 19:00","2012","10","18","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 20:00","2012","10","18","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 21:00","2012","10","18","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 22:00","2012","10","18","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-18 23:00","2012","10","18","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 00:00","2012","10","19","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 01:00","2012","10","19","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 02:00","2012","10","19","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 03:00","2012","10","19","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 04:00","2012","10","19","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 05:00","2012","10","19","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 06:00","2012","10","19","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 07:00","2012","10","19","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 08:00","2012","10","19","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 09:00","2012","10","19","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 10:00","2012","10","19","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 11:00","2012","10","19","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 12:00","2012","10","19","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 13:00","2012","10","19","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 14:00","2012","10","19","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 15:00","2012","10","19","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 16:00","2012","10","19","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 17:00","2012","10","19","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 18:00","2012","10","19","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 19:00","2012","10","19","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 20:00","2012","10","19","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 21:00","2012","10","19","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 22:00","2012","10","19","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-19 23:00","2012","10","19","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 00:00","2012","10","20","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 01:00","2012","10","20","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 02:00","2012","10","20","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 03:00","2012","10","20","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 04:00","2012","10","20","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 05:00","2012","10","20","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 06:00","2012","10","20","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 07:00","2012","10","20","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 08:00","2012","10","20","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 09:00","2012","10","20","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 10:00","2012","10","20","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 11:00","2012","10","20","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 12:00","2012","10","20","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 13:00","2012","10","20","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 14:00","2012","10","20","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 15:00","2012","10","20","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 16:00","2012","10","20","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 17:00","2012","10","20","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 18:00","2012","10","20","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 19:00","2012","10","20","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 20:00","2012","10","20","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 21:00","2012","10","20","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 22:00","2012","10","20","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-20 23:00","2012","10","20","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 00:00","2012","10","21","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 01:00","2012","10","21","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 02:00","2012","10","21","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 03:00","2012","10","21","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 04:00","2012","10","21","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 05:00","2012","10","21","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 06:00","2012","10","21","06:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 07:00","2012","10","21","07:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 08:00","2012","10","21","08:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 09:00","2012","10","21","09:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 10:00","2012","10","21","10:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 11:00","2012","10","21","11:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 12:00","2012","10","21","12:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 13:00","2012","10","21","13:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 14:00","2012","10","21","14:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 15:00","2012","10","21","15:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 16:00","2012","10","21","16:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 17:00","2012","10","21","17:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 18:00","2012","10","21","18:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 19:00","2012","10","21","19:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 20:00","2012","10","21","20:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 21:00","2012","10","21","21:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 22:00","2012","10","21","22:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-21 23:00","2012","10","21","23:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 00:00","2012","10","22","00:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 01:00","2012","10","22","01:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 02:00","2012","10","22","02:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 03:00","2012","10","22","03:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 04:00","2012","10","22","04:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 05:00","2012","10","22","05:00"
"-75.57","45.52","GATINEAU A","7032681","2012-10-22 06:00","2012","10","22","06:00"
